ML SATD Type,Mean Lines of Code End,Mean Complexity End,Mean Commits Between Start End,Median Lines of Code End,Median Complexity End,Median Commits Between Start End,STD Lines of Code End,STD Complexity End
MCM,1103.25,187.75,62.75,960.0,139.0,42.0,451.43957236821853,168.3825629333394
Data Conf,332.5217391304348,78.3913043478261,116.17391304347827,150.0,41.0,12.0,383.4624713302653,98.36433567651073
MLKnow,209.86666666666667,41.2,245.8,166.0,31.0,46.0,165.22786958890708,40.68119958899934
MCR,300.75,78.5,15.25,142.5,32.5,4.0,316.2375491620184,89.43852637426447
DS Configuration,268.8,42.7,339.0,159.0,22.5,81.0,324.12337157323293,47.297040076520645
Weight Conf,16.666666666666668,4.666666666666667,7.0,7.0,2.0,8.0,16.579773487261182,5.2493385826745405
MCC,230.25,38.0,61.0,204.0,34.0,50.0,157.0435847145626,29.740544715926102
Proto,443.0,115.25,119.5,261.5,62.5,12.5,356.8480068600636,111.86906408833498
UMC ,326.75,46.5,31.25,326.0,38.5,19.5,299.0671956266685,44.556144357428416
MDepend,612.2857142857143,94.0,109.85714285714286,587.0,108.0,145.0,425.9029783163948,62.50485695413711
HP Conf,232.0,38.0,252.75,114.0,15.0,270.5,265.55696187447245,48.27007354458868
UMC,491.0,72.36363636363636,80.0,304.0,39.0,16.0,508.78607756823766,84.29738778145418
CDT,285.0,65.8,253.4,283.0,47.0,13.0,228.61408530534595,69.4878406629534
MLInter,121.0,19.0,192.0,121.0,19.0,192.0,0.0,0.0
Layer Conf,277.0,56.0,124.0,174.0,21.5,42.5,267.31535683533036,69.32171376992926
