Dataset ID,Repo Type,Repo Name,Filename,Comment Text,Is TD?,Software TD Type,ML TD Type,ML Pipeline Stage,Project size in KB,Lines of Code Start,Complexity Start,Token Count Start,Lines of Code End,Complexity End,Token Count End,Token count change,Commits Between Start End,Lines of code changed,Project size in KB,Complexity Involved,ML Pipeline Stage,ML TD Type
aaedcebdc,Tool,microsoft/NimbusML,src/python/nimbusml/pipeline.py,[todo]: this is a bug; predict_proba should not change,Yes,Defect,MCM,Prediction,3960,1721,441,9813,1836,464,10539,726,162,115,3960,23,Prediction,MCM
aahfiaifg,Tool,RaRe-Technologies/gensim,gensim/corpora/csvcorpus.py,"\""\""\"" || Corpus in CSV format. TODO: still serializes to SVMLight format; feel free to change this. || \""\""\""",Yes,Requirement,Data Conf,Data Pre,106266,54,12,342,37,5,211,-131,4,-17,106266,-7,Data Pre,Data Conf
aahhdbjej,Tool,raamana/neuropredict,neuropredict/config_neuropredict.py,find out why prefix neg_ is needed,Yes,,MLKnow,Evaluation,17144,165,1,684,166,1,691,7,9,1,17144,0,Evaluation,MLKnow
aadfibefa,Application,deep-fry/mayo,mayo/task/image/generate.py,FIXME annoying hack for batching different sized shapes;,Yes,Code,MCR,Training,34777,120,20,1055,112,18,981,-74,4,-8,34777,-2,Training,MCR
aajfadgji,Application,pyannote/pyannote-audio,pyannote/audio/pipeline/speaker_diarization.py,FIXME don't l2_normalize for any metric,Yes,Requirement,Data Conf,Evaluation,263419,180,29,1274,125,9,544,-730,184,-55,263419,-20,Evaluation,Data Conf
aaaedbhaj,Application,roscisz/TensorHive,tensorhive/controllers/reservation/update_reservation_controller.py,FIXME This will make sense when all controllers are in one file (like task.py),Yes,Design,DS Configuration,Other,26394,38,8,309,34,8,267,-42,233,-4,26394,0,Other,DS Configuration
aaebbccje,Application,Calysto/conx,conx/__init__.py,FIXME: can I backprop error through both,Yes,Requirement,Weight Conf,Training,181004,212,43,1727,3,0,13,-1714,8,-209,181004,-43,Training,Weight Conf
aaffafejc,Tool,DependableSystemsLab/TensorFI,TensorFI/injectFault.py,FIXME: Implement this functionality,Yes,Requirement,Data Conf,Data Pre,12950,814,188,5071,849,195,5411,340,78,35,12950,7,Data Pre,Data Conf
aaeejjfbc,Tool,CPJKU/madmom,madmom/features/beats.py,FIXME: this is kind of hackish; but being able to simply set,Yes,Code,MCC,Modeling,6575,525,67,3578,439,55,3030,-548,92,-86,6575,-12,Modeling,MCC
aajdcgacj,Application,jupyter/nbdime,nbdime/diffing/notebooks.py,FIXME: Use linebased diff of some types of outputs:,Yes,Requirement,Data Conf,Data Pre,14325,7,1,50,148,44,879,829,158,141,14325,43,Data Pre,Data Conf
