,Dataset ID,Repo Type,Repo Name,Filename,Comment-Introducing Revision,Comment-Removing Revision,Comment Text,Is TD?,Software TD Type,ML TD Type,ML TD Type 2,ML Pipeline Stage,NLC,PS,CS,TFI,ANL,ANC,AVT,AVM
0,aaacggdfb,Application,GilesStrong/lumin,lumin/nn/interpretation/features.py,https://github.com/GilesStrong/lumin/commit/23ece2386dca29edf85a83b9b1f7159e5a612274,https://github.com/GilesStrong/lumin/commit/22e14948af2e3dd5ce65f824af8799d9bddc1ee0,TODO extend to work over matrix data,Yes,Requirement,MLInter,Proto,Modeling,0.013948498,0.231186095,0.054864253,0.086350471,0.067390699,0.041439477,0.073207687,0.053763441
1,aaaedbhaj,Application,roscisz/TensorHive,tensorhive/controllers/reservation/update_reservation_controller.py,https://github.com/roscisz/TensorHive/commit/3f1d0bed86a982d6d6965f28435379a20c54cdba,https://github.com/roscisz/TensorHive/commit/881dc5e59e598852f37976ac6573d3119bbb2e08,FIXME This will make sense when all controllers are in one file (like task.py),Yes,Design,DS Configuration,,Other,0.00751073,0.038597552,0.031108597,0.108979001,0.020050125,0.017448201,0.021286031,0.043010753
2,aaahgiacg,Tool,gunthercox/ChatterBot,chatterbot/algorithms/engram.py,https://github.com/gunthercox/ChatterBot/commit/f35b4ca11439449a716bddaef2de3eaf082ca925,https://github.com/gunthercox/ChatterBot/commit/940a6f7909dd17a879049071ed8672d1ad1c5158,TODO Search the web or use other algorithms,Yes,,MLKnow,,Data Pre,0.025751073,0.005763341,0.001696833,0.009594497,0.014202172,0.018538713,0.011012565,0.032258065
3,aaaiefadd,Application,PratikBarhate/question-classification,qc/dataprep/feature_stack.py,https://github.com/PratikBarhate/question-classification/commit/c4d372e6eac489dd4c94853105b292d83f6b0cda,https://github.com/PratikBarhate/question-classification/commit/c0e65f4ed9867738cdf1a2fdeb37358536dae892,TODO check results after standardizing num ft once a ml algorithm is ready to test,Yes,M&T,MDepend,,Data Acq,0.019313305,0.088657733,0.001696833,0.005792904,0.006683375,0.002181025,0.0109017,0.021505376
4,aabgdbaje,Application,rmalav15/Super-SloMo,data_loader.py,https://github.com/rmalav15/Super-SloMo/commit/db6e050566391a6ec41b643f873c5aaa8ae88f25,https://github.com/rmalav15/Super-SloMo/commit/1af154900e0ecafc953e9c3a2295ff842fa0eb7b,TODO: add backward images also.,Yes,,Data Conf,,Data Acq,0.347639485,0.043884215,0.001696833,0.002534395,0.069340017,0.074154853,0.077014043,0.279569892
5,aadbfigaf,Application,xinshuoweng/Xinshuo_PyToolbox,xinshuo_images/python/image_processing.py,https://github.com/xinshuoweng/Xinshuo_PyToolbox/commit/02c5283878b5f035c75ba9a3a2d38222f23c3920,https://github.com/xinshuoweng/Xinshuo_PyToolbox/commit/b6845566526a7b535c218ced1b4d0ee88cbe6394,TODO,Yes,Requirement,Data Conf,,Data Pre,0.196351931,0.161416748,0.001696833,0.058110065,0.171261487,0.218102508,0.236252772,0.387096774
6,aadcagfcc,Application,mpkuse/cartwheel_train,CustomNets.py,https://github.com/mpkuse/cartwheel_train/commit/404ec4c091ba511ab70df27886ebe396cb1c1a02,https://github.com/mpkuse/cartwheel_train/commit/d62c86276491e3d0495366e1f2c47a21e723267f,TODO : removal,Yes,Code,UMC,,Data Acq,0.288626609,0.015264139,0.003393665,0.003982621,0.15176831,0.093784079,0.227383592,0.043010753
7,aadejjjdj,Application,comtravo/ctparse,ctparse/partial_parse.py,https://github.com/comtravo/ctparse/commit/48a409a8c5b8a782fd996b6b2b9f1729fa45c978,https://github.com/comtravo/ctparse/commit/ca4f11da5ee5b14da53caa03c51aaaa1e14f8199,TODO: the second element of the rule is not being used,Yes,Requirement,Data Conf,,Data Pre,0.020386266,0.003880461,0.002828054,0.018464881,0.060985798,0.063249727,0.056504065,0.150537634
8,aadfibefa,Application,deep-fry/mayo,mayo/task/image/generate.py,https://github.com/deep-fry/mayo/commit/c873eb4c3d34cc1e4a9b4607953bc67f61002839,https://github.com/deep-fry/mayo/commit/133f9e40e32b7d9a43d501cc3278f112ab35ef03,FIXME annoying hack for batching different sized shapes;,Yes,Code,MCR,,Training,0.019313305,0.051085039,0.001131222,0.05865315,0.064605959,0.041439477,0.075240207,0.064516129
9,aadfjfbei,Application,pyro-ppl/funsor,funsor/tensor.py,https://github.com/pyro-ppl/funsor/commit/7dce5d20fea11febe010b945ae01434d771d231a,https://github.com/pyro-ppl/funsor/commit/1cb43a4dd317cd0d3f7faee4662c2b6bfa918d2a,TODO Promote this to a Funsor subclass.,Yes,Design,MCR,,Data Acq,0.032188841,0.003345687,0.027149321,0.142650253,0.472848789,0.505997819,0.524131559,0.107526882
10,aadfjffba,Application,pyro-ppl/funsor,funsor/domains.py,https://github.com/pyro-ppl/funsor/commit/eb7984677afa71a7373474a68b33a82ddfd3b766,https://github.com/pyro-ppl/funsor/commit/5279bbdd0e7845d71739a7f27f5b55f5fdbc5118,TODO this is too general; register all ops,Yes,Requirement,Proto,,Data Acq,0.046137339,0.003345687,0.005656109,0.146632875,0.13561682,0.154852781,0.126348854,0.129032258
11,aadgfccbh,Application,sorgerlab/indra,indra/literature/s3_client.py,https://github.com/sorgerlab/indra/commit/bc1d09aa02ec3aa4269f3194dd6b145a9c6cc3bc,https://github.com/sorgerlab/indra/commit/4e21ee8558b023f527bc95f8dcecd5ecc0557688,TODO: Currently we don't look at source text; but we may want to,Yes,Requirement,Data Conf,,Data Acq,0.052575107,0.508027564,0.002262443,0.211259957,0.116959064,0.113413304,0.098743533,0.043010753
12,aadgfdibb,Application,sorgerlab/indra,indra/sources/ndex_cx/processor.py,https://github.com/sorgerlab/indra/commit/11f0339e884f2dbe5a8c9b98b6ab0c6dff01f898,https://github.com/sorgerlab/indra/commit/f50104ee6b9ee9c8d57a58f0a29651978325ae6c,TODO: handle other participant types,Yes,Requirement,MCR,,Data Acq,0.213519313,0.508027564,0.001131222,0.23968139,0.07101086,0.075245365,0.062601626,0.279569892
13,aadghfgba,Application,pescadores/pescador,pescador.py,https://github.com/pescadores/pescador/commit/df76c54f793508b81e481f7150cd119a9ccff6db,https://github.com/pescadores/pescador/commit/88ab34d1a9ff36632669dbdf5196e471e2b163d6,TODO:   2014-07-10 16:38:27 by Brian McFee <brm2132@columbia.edu>,Yes,Design,MCR,MCM,Modeling,0.003218884,0,0.000565611,0.000724113,0.096351991,0.102508179,0.084035477,0.129032258
14,aaeacgjbc,Application,mozilla/bugbug,scripts/commit_classifier.py,https://github.com/mozilla/bugbug/commit/242d43d3fdb7aeb4d4221ab7835a30d3aa4ed1b3,https://github.com/mozilla/bugbug/commit/2cf007fc1c3202936693bd026372efb604be1310,"TODO: The \""\"" choice can be removed when all users have been updated to pass a correct phabricator_deployment.",Yes,Code,UMC ,,Other,0.00751073,0.010731225,0.014705882,0.108979001,0.331384016,0.222464558,0.261973392,0.064516129
15,aaeachbce,Application,mozilla/bugbug,scripts/test_scheduling_history_retriever.py,https://github.com/mozilla/bugbug/commit/2e097ffb7f4ecf2339b41d8dfe9012a10c749cd2,https://github.com/mozilla/bugbug/commit/0b4540372211e48dfcff5567c85e3ef07fa662c0,XXX: We re-cache now just to make sure all items get a mozci version.,Yes,,DS Configuration,,Data Acq,0.011802575,0.010731225,0.006221719,0.119659667,0.159565581,0.13740458,0.118181818,0.021505376
