ML Pipeline Stage,ML TD Type,Principal_Component
Training,MDepend,8.578416825220657
Prediction,MCM,7.12932098307564
Modeling,Data Conf,6.408018383936737
Data Acq,UMC,5.896885373917249
Evaluation,UMC,5.585062915150373
Other,MCM,2.983086437349933
Data Acq,MCR,2.3811633140711863
Data Acq,Proto,2.2502312893763996
Data Acq,MCM,1.4527626674359744
Data Acq,CDT,1.4465484445502073
Modeling,Layer Conf,0.6538104317800251
Data Pre,UMC ,0.449019827318192
Other,UMC ,0.4064458307125334
Other,DS Configuration,0.13942559224549633
Training,MLKnow,0.08527281967556188
Data Pre,DS Configuration,0.0262173402848227
Modeling,MCM,7.08832054083741e-05
Evaluation,Data Conf,-0.017953630249607
Data Pre,Proto,-0.136719323164197
Training,Data Conf,-0.21827844468291757
Modeling,UMC,-0.22461190866970404
Training,CDT,-0.239793739414714
Other,Data Conf,-0.24458554992818815
Data Pre,MDepend,-0.35677469077126633
Modeling,HP Conf,-0.4183750476584792
Data Acq,UMC ,-0.5473328690730787
Training,Proto,-0.7182661076289486
Modeling,MCC,-0.7357015873762845
Other,MLKnow,-0.7575329975390158
Modeling,MCR,-0.8320961879895586
Data Acq,Data Conf,-0.8675099373534593
Prediction,Data Conf,-0.9269624487326952
Training,MCC,-0.9902956238452116
Data Pre,MCC,-1.0220127758122222
Modeling,UMC ,-1.0327238155630876
Training,HP Conf,-1.0479176843466682
Modeling,MLInter,-1.1452363462502444
Training,UMC,-1.1479065015814458
Other,CDT,-1.275014728264633
Training,Weight Conf,-1.3218653696029896
Evaluation,MLKnow,-1.3834647065344925
Data Pre,UMC,-1.3907327309612385
Training,DS Configuration,-1.3913246086181894
Modeling,MDepend,-1.4102620309547587
Modeling,Weight Conf,-1.427845870639311
Modeling,Proto,-1.4595777387037672
Modeling,MLKnow,-1.557070177979848
Data Acq,MDepend,-1.629668734828133
Data Pre,CDT,-1.6898404066107506
Training,Layer Conf,-1.946224177483243
Data Pre,Data Conf,-1.957157951514946
Data Acq,DS Configuration,-2.112640915257459
Training,MCR,-2.5317880008067677
Data Pre,MLKnow,-7.758693992914878
